epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.3301,1.31504,0.62212,0.8564,0.80865,0.5408,0.63048,0.29362,1.75415,0.86613,0.99084,0.00056,0.00056,0.00056
2,61.1033,1.41529,0.6792,0.85623,0.80683,0.53878,0.62868,0.2929,1.74302,0.86944,0.99747,0.00113997,0.00113997,0.00113997
3,69.8216,1.44341,0.70362,0.86612,0.76758,0.53447,0.6105,0.27998,1.78198,0.86867,1.01219,0.00171981,0.00171981,0.00171981
4,78.4377,1.43282,0.69989,0.87087,0.77364,0.54105,0.61776,0.2823,1.76442,0.87634,0.99084,0.00199951,0.00199951,0.00199951
5,92.9475,1.49891,0.73042,0.8803,0.76194,0.53776,0.61357,0.285,1.72636,0.90162,0.98849,0.00199913,0.00199913,0.00199913
6,105.752,1.48145,0.74552,0.87706,0.77337,0.53244,0.60622,0.2668,1.80487,0.89936,0.99193,0.00199864,0.00199864,0.00199864
7,130.459,1.48068,0.74178,0.88168,0.78104,0.54739,0.62619,0.29209,1.73569,0.87121,0.97631,0.00199805,0.00199805,0.00199805
8,139.153,1.44118,0.72266,0.87872,0.75799,0.53496,0.60204,0.25646,1.8238,0.92079,1.00244,0.00199734,0.00199734,0.00199734
9,159.939,1.49378,0.74755,0.88033,0.78912,0.51926,0.60219,0.26608,1.84932,0.90399,1.00769,0.00199653,0.00199653,0.00199653
10,244.725,1.52945,0.76074,0.88138,0.79075,0.53248,0.61713,0.28271,1.772,0.87645,0.98636,0.00199561,0.00199561,0.00199561
11,253.294,1.51426,0.74597,0.8801,0.80594,0.52737,0.62602,0.29593,1.73653,0.87245,0.99027,0.00199458,0.00199458,0.00199458
12,262.163,1.48251,0.73692,0.87736,0.76664,0.54207,0.60551,0.28127,1.74227,0.90127,0.99577,0.00199344,0.00199344,0.00199344
13,276.449,1.44492,0.70941,0.8803,0.7863,0.51825,0.60344,0.27885,1.76244,0.85314,0.98898,0.00199219,0.00199219,0.00199219
14,301.138,1.41629,0.70855,0.87587,0.78039,0.51368,0.58946,0.26216,1.80635,0.88019,0.99921,0.00199084,0.00199084,0.00199084
15,309.536,1.48151,0.73137,0.88381,0.78708,0.53209,0.61427,0.27459,1.81226,0.87483,1.00708,0.00198938,0.00198938,0.00198938
16,318.278,1.48369,0.72557,0.87471,0.78763,0.53472,0.61677,0.28101,1.76708,0.87166,0.9919,0.00198781,0.00198781,0.00198781
17,370.167,1.52082,0.73846,0.8712,0.7761,0.54257,0.61663,0.28268,1.77841,0.87512,0.9953,0.00198614,0.00198614,0.00198614
