epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,812.336,1.65679,0.84712,0.91398,0.71175,0.49088,0.55767,0.24268,1.8394,0.93219,0.9964,0.00165689,0.00165689,0.00165689
43,821.143,1.71963,0.87548,0.92378,0.77339,0.51292,0.59506,0.27541,1.74174,0.91894,0.97775,0.00164105,0.00164105,0.00164105
44,833.286,1.66976,0.84133,0.90983,0.7801,0.51521,0.58861,0.27108,1.77683,0.87484,0.98721,0.00162494,0.00162494,0.00162494
45,856.608,1.60148,0.8028,0.91406,0.76515,0.52382,0.59524,0.2672,1.76958,0.87216,0.98797,0.00160855,0.00160855,0.00160855
46,871.938,1.60435,0.8078,0.91482,0.7767,0.52179,0.60823,0.28838,1.72839,0.86479,0.98771,0.00159191,0.00159191,0.00159191
47,888.04,1.62303,0.81315,0.91029,0.7576,0.52686,0.59523,0.27683,1.74057,0.87511,0.97334,0.00157501,0.00157501,0.00157501
48,896.847,1.63372,0.80989,0.90875,0.79217,0.52162,0.60303,0.26807,1.81857,0.88819,0.99015,0.00155786,0.00155786,0.00155786
49,920.424,1.67509,0.83821,0.90758,0.77145,0.52331,0.60259,0.27032,1.79938,0.91452,0.98436,0.00154047,0.00154047,0.00154047
50,929.168,1.59488,0.80768,0.90767,0.78019,0.52889,0.61269,0.28748,1.71349,0.84393,0.96652,0.00152285,0.00152285,0.00152285
51,942.96,1.58253,0.79379,0.90542,0.77329,0.51546,0.60343,0.28051,1.73466,0.8797,0.97397,0.001505,0.001505,0.001505
52,960.64,1.58083,0.80695,0.90915,0.79903,0.51386,0.60732,0.28695,1.73407,0.88424,0.97577,0.00148694,0.00148694,0.00148694
53,969.275,1.60323,0.80959,0.90839,0.78747,0.51521,0.61259,0.28378,1.75818,0.87464,0.97687,0.00146866,0.00146866,0.00146866
54,1004.21,1.59475,0.81912,0.90239,0.75854,0.5342,0.60578,0.28326,1.75932,0.87934,0.97951,0.00145019,0.00145019,0.00145019
55,1012.7,1.54405,0.77972,0.9007,0.77242,0.53843,0.61254,0.28327,1.73629,0.86697,0.97287,0.00143152,0.00143152,0.00143152
56,1021.23,1.57242,0.79081,0.89768,0.7804,0.5261,0.60755,0.28161,1.75309,0.8663,0.98859,0.00141267,0.00141267,0.00141267
57,1029.79,1.59898,0.7831,0.90397,0.75231,0.5441,0.6176,0.28214,1.79182,0.87654,0.98685,0.00139364,0.00139364,0.00139364
58,1038.28,1.59333,0.79298,0.90634,0.77092,0.52585,0.60977,0.28715,1.72411,0.85208,0.9706,0.00137444,0.00137444,0.00137444
59,1046.83,1.56589,0.78177,0.90157,0.77156,0.53838,0.61448,0.2924,1.70465,0.87595,0.97308,0.00135509,0.00135509,0.00135509
60,1055.7,1.59937,0.80023,0.90627,0.79147,0.51459,0.60324,0.28208,1.72887,0.86934,0.97447,0.00133558,0.00133558,0.00133558
61,1096.98,1.59986,0.79031,0.89699,0.78013,0.52509,0.60414,0.27467,1.7595,0.88671,0.97706,0.00131593,0.00131593,0.00131593
62,1113.74,1.58259,0.78284,0.89772,0.78028,0.52509,0.59741,0.27456,1.74842,0.86593,0.975,0.00129614,0.00129614,0.00129614
